GÖZDE PLASTİK TOP SANAYİ – MASTER ÜRÜN LİSTESİ;;;;;;;;;;;;;
;;;;;;;;;;;;;
SKU;Ürün Adı;Kategori;Alt Tip;Ağırlık (gr);Boyut / Beden;Materyal;Koli İçi;Min. Sipariş;Liste Fiyatı (₺);KDV (%);Fotoğraf Dosya;Aktif;Notlar
★ FB - Futbol Topları;;;;;;;;;;;;;
FB-TOP-001;Futbol Topu;FB - Futbol Topları;Standart;240;No.5;Suni Deri;100;;;10;FB-TOP-001.jpg;Evet;
FB-TOP-002;Futbol Topu;FB - Futbol Topları;Standart;270;No.5;Suni Deri;100;;;10;FB-TOP-002.jpg;Evet;
FB-TOP-003;Futbol Topu;FB - Futbol Topları;Standart;300;No.5;PU Deri;100;;;10;FB-TOP-003.jpg;Evet;
FB-TOP-004;Futbol Topu Parlak;FB - Futbol Topları;Parlak;350;No.5;PU Deri;60;;;10;FB-TOP-004.jpg;Evet;
FB-TOP-005;Futbol Topu Soft;FB - Futbol Topları;Soft;350;No.5;Soft Deri;60;;;10;FB-TOP-005.jpg;Evet;
FB-TOP-006;Futbol Topu 4 Astar;FB - Futbol Topları;4 Astar;440;No.5;PU Deri;60;;;10;FB-TOP-006.jpg;Evet;
FB-TOP-007;Futbol Topu Prime;FB - Futbol Topları;Prime;440;No.5;PU Deri;50;;;10;FB-TOP-007.jpg;Evet;Yeni modeller FB-TOP-007-01 vb. eklenecek
FB-TOP-008;Futbol Topu Yapıştırma;FB - Futbol Topları;Yapıştırma;440;No.5;PU Deri;50;;;10;FB-TOP-008.jpg;Evet;
★ VB - Voleybol Topları;;;;;;;;;;;;;
VB-TOP-001;Voleybol Topu;VB - Voleybol Topları;Standart;270;No.5;Suni Deri;100;;;10;VB-TOP-001.jpg;Evet;
VB-TOP-002;Voleybol Topu Soft;VB - Voleybol Topları;Soft;270;No.5;Soft Deri;100;;;10;VB-TOP-002.jpg;Evet;
VB-TOP-003;Voleybol Topu Soft Model 2;VB - Voleybol Topları;Soft;270;No.5;Soft Deri;100;;;10;VB-TOP-003.jpg;Evet;
VB-TOP-004;Voleybol Topu Yapıştırma;VB - Voleybol Topları;Yapıştırma;420;No.5;PU Deri;50;;;10;VB-TOP-004.jpg;Evet;
VB-TOP-005;Voleybol Elliği;VB - Voleybol Topları;Aksesuar;;;;;;;10;VB-TOP-005.jpg;Evet;
VB-TOP-006;Voleybol Dizliği;VB - Voleybol Topları;Aksesuar;;;;;;;10;VB-TOP-006.jpg;Evet;
★ BK - Basketbol Topları;;;;;;;;;;;;;
BK-TOP-001;Basketbol Topu No.3;BK - Basketbol Topları;Standart;290;No.3;Kauçuk;80;;;10;BK-TOP-001.jpg;Evet;
BK-TOP-002;Basketbol Topu No.5;BK - Basketbol Topları;Standart;400;No.5;Kauçuk;60;;;10;BK-TOP-002.jpg;Evet;
BK-TOP-003;Basketbol Topu No.7;BK - Basketbol Topları;Standart;500;No.7;Kauçuk;50;;;10;BK-TOP-003.jpg;Evet;
BK-TOP-004;Basketbol Topu Renkli;BK - Basketbol Topları;Renkli;500;No.7;Kauçuk;50;;;10;BK-TOP-004.jpg;Evet;Çoklu renk seçeneği
BK-POT-001;Basketbol Potası Küçük;BK - Basketbol Topları;Pota;;;;;;;10;BK-POT-001.jpg;Evet;Duvara monte
BK-POT-002;Basketbol Potası Büyük;BK - Basketbol Topları;Pota;;;;;;;10;BK-POT-002.jpg;Evet;Duvara monte
BK-POT-003;Basketbol Potası Küçük Ayaklı;BK - Basketbol Topları;Pota Ayaklı;;;;;;;10;BK-POT-003.jpg;Evet;
BK-POT-004;Basketbol Potası Büyük Ayaklı;BK - Basketbol Topları;Pota Ayaklı;;;;;;;10;BK-POT-004.jpg;Evet;
BK-POT-005;Basketbol Potası Dev;BK - Basketbol Topları;Pota;;;;;;;10;BK-POT-005.jpg;Evet;
BK-POT-006;Basketbol Potası 3 Toplu Büyük;BK - Basketbol Topları;Pota;;;;;;;10;BK-POT-006.jpg;Evet;3 top dahil
★ HT - Hentbol Topları;;;;;;;;;;;;;
HT-TOP-001;Hentbol Topu Parlak;HT - Hentbol Topları;Parlak;;No.2;;;;;10;HT-TOP-001.jpg;Evet;
HT-TOP-002;Hentbol Topu Soft;HT - Hentbol Topları;Soft;;No.2;;;;;10;HT-TOP-002.jpg;Evet;
★ PL - Plastik Toplar;;;;;;;;;;;;;
PL-TOP-001;Plastik Top Beach Volley;PL - Plastik Toplar;70gr - 21cm;70;21 cm;PVC;500;;;10;PL-TOP-001.jpg;Evet;
PL-TOP-002;Plastik Top Spiderman;PL - Plastik Toplar;70gr - 21cm;70;21 cm;PVC;500;;;10;PL-TOP-002.jpg;Evet;
PL-TOP-003;Plastik Top Benekli;PL - Plastik Toplar;70gr - 21cm;70;21 cm;PVC;500;;;10;PL-TOP-003.jpg;Evet;
PL-TOP-004;Plastik Top Yıldızlı;PL - Plastik Toplar;70gr - 21cm;70;21 cm;PVC;500;;;10;PL-TOP-004.jpg;Evet;
PL-TOP-005;Mini Plastik Top No.1;PL - Plastik Toplar;Mini Top;;No.1;PVC;450;;;10;PL-TOP-005.jpg;Evet;
PL-TOP-006;Mini Plastik Top No.2;PL - Plastik Toplar;Mini Top;;No.2;PVC;450;;;10;PL-TOP-006.jpg;Evet;
PL-TOP-007;Mini Plastik Top No.3;PL - Plastik Toplar;Mini Top;;No.3;PVC;450;;;10;PL-TOP-007.jpg;Evet;
PL-TOP-008;Mini Plastik Top No.4;PL - Plastik Toplar;Mini Top;;No.4;PVC;450;;;10;PL-TOP-008.jpg;Evet;
PL-TOP-009;Mini Basketbol Desenli Plastik Top;PL - Plastik Toplar;Mini Top;50;8-10 cm;PVC;450;;;10;PL-TOP-009.jpg;Evet;
PL-TOP-010;Plastik Futbol Topu;PL - Plastik Toplar;200gr - 22cm;200;22 cm;PVC;120;;;10;PL-TOP-010.jpg;Evet;
PL-TOP-011;Lamba Topu;PL - Plastik Toplar;Özel;;;PVC;;;;10;PL-TOP-011.jpg;Evet;
PL-TOP-012;Boks Topu;PL - Plastik Toplar;Özel;;;PVC;;;;10;PL-TOP-012.jpg;Evet;
PL-TOP-013;Dikenli Masaj Topu;PL - Plastik Toplar;Dikenli;90;;PVC;;;;10;PL-TOP-013.jpg;Evet;8 farklı renk/model
PL-TOP-014;Plastik Top Gökkuşağı;PL - Plastik Toplar;90gr - 22cm;90;22 cm;PVC;400;;;10;PL-TOP-014.jpg;Evet;
PL-TOP-015;Mini Gökkuşağı Top;PL - Plastik Toplar;Mini Top;;;PVC;;;;10;PL-TOP-015.jpg;Evet;
PL-TOP-016;Ay Topu;PL - Plastik Toplar;Özel;;;PVC;;;;10;PL-TOP-016.jpg;Evet;
PL-TOP-017;Havuz Topu;PL - Plastik Toplar;Özel;;7 cm;PVC;;;;10;PL-TOP-017.jpg;Evet;
PL-TOP-018;Zıp Zıp Top;PL - Plastik Toplar;Özel;;60 cm;PVC;;;;10;PL-TOP-018.jpg;Evet;
PL-TOP-019;Şişme Hayvan;PL - Plastik Toplar;Şişme;;;PVC;;;;10;PL-TOP-019.jpg;Evet;
PL-TOP-020;Plastik Tabanca Boncuğu;PL - Plastik Toplar;Özel;;;PVC;;;;10;PL-TOP-020.jpg;Evet;
PL-TOP-021;Stres Topu Küçük;PL - Plastik Toplar;Stres Topu;;Küçük;PVC;;;;10;PL-TOP-021.jpg;Evet;
PL-TOP-022;Stres Topu Orta;PL - Plastik Toplar;Stres Topu;;Orta;PVC;;;;10;PL-TOP-022.jpg;Evet;
PL-TOP-023;Stres Topu Büyük;PL - Plastik Toplar;Stres Topu;;Büyük;PVC;;;;10;PL-TOP-023.jpg;Evet;
★ AK - Aksesuar;;;;;;;;;;;;;
AK-PMP-001;Şişirme Pompası Büyük;AK - Aksesuar;Pompa;;50 cm;Metal;50;;;10;AK-PMP-001.jpg;Evet;
AK-PMP-002;Şişirme Pompası Küçük;AK - Aksesuar;Pompa;;30 cm;Metal;100;;;10;AK-PMP-002.jpg;Evet;
AK-PMP-003;Dijital Şarjlı Pompa Model 1;AK - Aksesuar;Pompa Dijital;;;;;;;10;AK-PMP-003.jpg;Evet;
AK-PMP-004;Dijital Şarjlı Pompa Model 2;AK - Aksesuar;Pompa Dijital;;;;;;;10;AK-PMP-004.jpg;Evet;
AK-BDM-001;Badminton Seti Fileli;AK - Aksesuar;Badminton;;;;50;;;10;AK-BDM-001.jpg;Evet;
AK-BDM-002;Badminton Seti Çantalı;AK - Aksesuar;Badminton;;;;50;;;10;AK-BDM-002.jpg;Evet;Çanta dahil
AK-BDM-003;Badminton Seti Renkli;AK - Aksesuar;Badminton;;;;50;;;10;AK-BDM-003.jpg;Evet;
AK-BDT-001;Badminton Topu Tüp;AK - Aksesuar;Badminton;;;;100;;;10;AK-BDT-001.jpg;Evet;6'lı tüp
AK-MTS-001;Masa Tenisi Seti;AK - Aksesuar;Masa Tenisi;;;;50;;;10;AK-MTS-001.jpg;Evet;2 raket + 3 top
AK-MTS-002;Masa Tenisi Seti Fileli;AK - Aksesuar;Masa Tenisi;;;;50;;;10;AK-MTS-002.jpg;Evet;File dahil
AK-MTS-003;Masa Tenisi Seti Çantalı;AK - Aksesuar;Masa Tenisi;;;;50;;;10;AK-MTS-003.jpg;Evet;Çanta dahil
AK-MTS-004;Masa Tenisi Raketi 4 Yıldız;AK - Aksesuar;Masa Tenisi;;;;50;;;10;AK-MTS-004.jpg;Evet;
AK-MTS-005;Masa Tenisi Raketi 5 Yıldız;AK - Aksesuar;Masa Tenisi;;;;50;;;10;AK-MTS-005.jpg;Evet;
AK-ELD-001;Kaleci Eldiveni No.5;AK - Aksesuar;Eldiven;;No.5;;;;;10;AK-ELD-001.jpg;Evet;
AK-ELD-002;Kaleci Eldiveni No.6;AK - Aksesuar;Eldiven;;No.6;;;;;10;AK-ELD-002.jpg;Evet;
AK-ELD-003;Kaleci Eldiveni No.7;AK - Aksesuar;Eldiven;;No.7;;;;;10;AK-ELD-003.jpg;Evet;
AK-ELD-004;Kaleci Eldiveni No.8;AK - Aksesuar;Eldiven;;No.8;;;;;10;AK-ELD-004.jpg;Evet;
AK-ELD-005;Kaleci Eldiveni No.9;AK - Aksesuar;Eldiven;;No.9;;;;;10;AK-ELD-005.jpg;Evet;
AK-ELD-006;Kaleci Eldiveni No.10;AK - Aksesuar;Eldiven;;No.10;;;;;10;AK-ELD-006.jpg;Evet;
AK-ELY-001;El Yayı Grip Strength;AK - Aksesuar;Fitness;;;;100;;;10;AK-ELY-001.jpg;Evet;3 renk
AK-ELY-002;El Yayı Sayaçlı;AK - Aksesuar;Fitness;;;;100;;;10;AK-ELY-002.jpg;Evet;
AK-DRN-001;Direnç Bandı;AK - Aksesuar;Fitness;;;;;;;10;AK-DRN-001.jpg;Evet;
AK-DRT-001;Dart Tahtası 12";AK - Aksesuar;Dart;;12 inç;;;;;10;AK-DRT-001.jpg;Evet;
AK-DRT-002;Dart Tahtası 15";AK - Aksesuar;Dart;;15 inç;;;;;10;AK-DRT-002.jpg;Evet;
AK-DRT-003;Dart Tahtası 17";AK - Aksesuar;Dart;;17 inç;;;;;10;AK-DRT-003.jpg;Evet;
AK-DRT-004;Mıknatıslı Dart;AK - Aksesuar;Dart;;;;;;;10;AK-DRT-004.jpg;Evet;
AK-ATL-001;Atlama İpi Sayaçlı;AK - Aksesuar;Atlama İpi;;;;100;;;10;AK-ATL-001.jpg;Evet;
AK-ATL-002;Atlama İpi Ucuz;AK - Aksesuar;Atlama İpi;;;;;;;10;AK-ATL-002.jpg;Evet;
AK-KUM-001;Kum Torbası Küçük;AK - Aksesuar;Kum Torbası;;;;;;;10;AK-KUM-001.jpg;Evet;
AK-KUM-002;Kum Torbası Büyük;AK - Aksesuar;Kum Torbası;;;;;;;10;AK-KUM-002.jpg;Evet;
AK-PAZ-001;Kaptanlık Pazubandı;AK - Aksesuar;Pazubandı;;;;;;;10;AK-PAZ-001.jpg;Evet;
AK-PAZ-002;Pro Kaptanlık Pazubandı;AK - Aksesuar;Pazubandı;;;;;;;10;AK-PAZ-002.jpg;Evet;
AK-DEN-001;Deniz Bonesi;AK - Aksesuar;Deniz;;;;;;;10;AK-DEN-001.jpg;Evet;
AK-DEN-002;Silikon Bone;AK - Aksesuar;Deniz;;;Silikon;;;;10;AK-DEN-002.jpg;Evet;
AK-DEN-003;Deniz Gözlüğü Model 1;AK - Aksesuar;Deniz;;;;;;;10;AK-DEN-003.jpg;Evet;
AK-DEN-004;Deniz Gözlüğü Model 2;AK - Aksesuar;Deniz;;;;;;;10;AK-DEN-004.jpg;Evet;
AK-DEN-005;Deniz Gözlüğü Model 3;AK - Aksesuar;Deniz;;;;;;;10;AK-DEN-005.jpg;Evet;
AK-DEN-006;Deniz Gözlüğü Model 4;AK - Aksesuar;Deniz;;;;;;;10;AK-DEN-006.jpg;Evet;
AK-DEN-007;Deniz Gözlüğü Model 5;AK - Aksesuar;Deniz;;;;;;;10;AK-DEN-007.jpg;Evet;
AK-BYZ-001;Beyzbol Topu;AK - Aksesuar;Beyzbol;;;;100;;;10;AK-BYZ-001.jpg;Evet;
AK-SHY-001;Şişme Hayvan;AK - Aksesuar;Şişme;;;PVC;50;;;10;AK-SHY-001.jpg;Evet;Büyük boy
AK-ZZT-001;Kulplu Zip Zip Top;AK - Aksesuar;Oyuncak;300;45 cm;PVC;100;;;10;AK-ZZT-001.jpg;Evet;
AK-AMF-001;Amerikan Futbol Topu;AK - Aksesuar;Amerikan Futbol;;;;50;;;10;AK-AMF-001.jpg;Evet;
AK-AYO-001;At Yapıştır Oyuncak;AK - Aksesuar;Oyuncak;;;;50;;;10;AK-AYO-001.jpg;Evet;
AK-AYO-002;At Tut Oyuncak;AK - Aksesuar;Oyuncak;;;;50;;;10;AK-AYO-002.jpg;Evet;
AK-SCO-001;Scooter;AK - Aksesuar;Scooter;;;;50;;;10;AK-SCO-001.jpg;Evet;
AK-MAT-001;Mat;AK - Aksesuar;Mat;;;;50;;;10;AK-MAT-001.jpg;Evet;
★ SP - Spor Ekipmanları;;;;;;;;;;;;;
SP-TEK-001;Tekmelik S Beden;SP - Spor Ekipmanları;Tekmelik;;S;;;;;10;SP-TEK-001.jpg;Evet;
SP-TEK-002;Tekmelik M Beden;SP - Spor Ekipmanları;Tekmelik;;M;;;;;10;SP-TEK-002.jpg;Evet;
SP-TEK-003;Tekmelik L Beden;SP - Spor Ekipmanları;Tekmelik;;L;;;;;10;SP-TEK-003.jpg;Evet;
SP-PAT-001;Paten S Beden;SP - Spor Ekipmanları;Paten;;31-34;;;;;10;SP-PAT-001.jpg;Evet;
SP-PAT-002;Paten M Beden;SP - Spor Ekipmanları;Paten;;35-38;;;;;10;SP-PAT-002.jpg;Evet;
SP-PAT-003;Paten L Beden;SP - Spor Ekipmanları;Paten;;39-42;;;;;10;SP-PAT-003.jpg;Evet;
SP-KAY-001;Kaykay Kanada Ağacı ABEC 7;SP - Spor Ekipmanları;Kaykay;;;;;;;10;SP-KAY-001.jpg;Evet;
SP-TEN-001;Kort Tenisi Raketi;SP - Spor Ekipmanları;Tenis;;;;;;;10;SP-TEN-001.jpg;Evet;
SP-HOL-001;Holihop Neon 60cm;SP - Spor Ekipmanları;Holihop;;60 cm;;;;;10;SP-HOL-001.jpg;Evet;
SP-HOL-002;Holihop Parlak Küçük;SP - Spor Ekipmanları;Holihop;;Küçük;;;;;10;SP-HOL-002.jpg;Evet;
SP-HOL-003;Holihop Parlak Orta;SP - Spor Ekipmanları;Holihop;;Orta;;;;;10;SP-HOL-003.jpg;Evet;
SP-HOL-004;Holihop Parlak Büyük;SP - Spor Ekipmanları;Holihop;;Büyük;;;;;10;SP-HOL-004.jpg;Evet;
